id;name;brand;regular_price;discount_price
89340862;Глазурованный керамогранит Gracia Ceramica Vardi E5242D11801, 12.5x50 см 0.875 м² матовый цвет серо-бежевый;GRACIA CERAMICA;818;
89414200;Глазурованный керамогранит Kreaforta Canyon 42x42 см 1.587 м² матовый цвет серый;KREAFORTA;798;
85604802;Керамогранит LB Ceramics Брэкстон 60x20x0.85 см 0.96 м² матовый цвет белый;LB CERAMICS;1050;997
82755493;Керамогранит Laparet Calacatta Superb 120x60x0.9 см 1.44 м² цвет белый;LAPARET;1866;1757
84177002;Глазурованный керамогранит Ceramente Stellare Cement Pro 60x60x0.95 см 1.44 м² матовый цвет светло-серый;CERAMENTE STELLARE;1358;1188
89380126;Глазурованный керамогранит Arcadia Ceramica Rex Onyx Blue 60x120 см 1.44 м² полированный цвет серо-голубой;ARCADIA CERAMICA;1953;
89414198;Глазурованный керамогранит Kreaforta Dina 42x42 см 1.587 м² сатинированный цвет черный;KREAFORTA;1128;
89405522;Керамогранит Vitra Alice 20x120 см 1.44 м² матовый цвет ореховый;VITRA;2088;
88945117;Глазурованный керамогранит Nevada Emperador 33x33 см 0.98 м² матовый цвет коричневый;;4684;
82111477;Глазурованный керамогранит Artens Норд 3D 40.2x40.2 см 1.62 м² матовый цвет белый;ARTENS;1123;893
84177442;Глазурованный керамогранит Artens Charm 18.5x59.8x0.75 см 1.216 м² матовый цвет коричневый рельеф;ARTENS;1115;
89010170;Глазурованный керамогранит Artens Charm 18.5x59.8x0.75 см 1.216 м² матовый цвет светло-бежевый;ARTENS;1082;
89364106;Глазурованный керамогранит Artens Dina 42x42x0.8 см 1.587 м² сатинированный цвет белый;ARTENS;874;
89364107;Глазурованный керамогранит Artens Dina 42x42x0.8 см 1.587 м² сатинированный цвет серый;ARTENS;988;
89364108;Глазурованный керамогранит Artens Dina 42x42 см 1.587 м² сатинированный цвет черно-белый;ARTENS;1042;
89364110;Глазурованный керамогранит Artens Canyon 42x42 см 1.587 м² матовый цвет серый;ARTENS;906;
89396420;Глазурованный керамогранит Arcadia Ceramica Paradise Statuario Carving 60x120 см 1.44 м² матовый цвет белый;ARCADIA CERAMICA;1648;1385
88945132;Ступень Nevada Emperador 33x33 см цвет коричневый 1 шт.;;1517;
82124664;Керамогранит Quadro Decor Соль-Перец 30x30x0.7 см 1.53 м² неполированный цвет бежевый;QUADRO DECOR;538;
89396423;Глазурованный керамогранит Arcadia Ceramica Desert Crema Sugar 60x60 см 1.44 м² лаппатированный цвет бежевый;ARCADIA CERAMICA;1916;
84841869;Керамогранит LB Ceramics Клэпборд 19.9x60.3x0.85 см 0.96 м² матовый цвет белый;LB CERAMICS;987;934
89233820;Глазурованный керамогранит Grasaro Loft G1206.MR/S1 60x120 см 1.44 м² матовый цвет серый;GRASARO;1816;
89132470;Глазурованный керамогранит Шахтинская Плитка Гранде 40x40x0.8 см 1.6 м² матовый цвет светло-бежевый;ШАХТИНСКАЯ ПЛИТКА;1125;998
88916601;Керамогранит Alma Ceramica Oxide GFU60120OXD00L 60x120x0.85 см 1.44 м² лаппатированный цвет белый;ALMA CERAMICA;2153;
82595120;Керамогранит Incolor Miracle 60x120x0.8 см 1.44 м² полированный цвет желтый оникс;INCOLOR;1804;1346
89353839;Глазурованный керамогранит Ceradim Onyx Queen Cream 120x60 см 1.44 м² полированный цвет кремовый;CERADIM;1891;
82595112;Керамогранит Incolor Thasos 60x60x0.9 см 1.44 м² полированный цвет белый;INCOLOR;2024;1620
84922229;Керамогранит LB Ceramics Софт Вуд 30x60x0.85 см 1.44 м² матовый цвет бежевый;LB CERAMICS;1011;
82712476;Керамогранит Estima Sun Deck 00 19.4x120x1 см 1.63 м² матовый цвет светло-бежевый;ESTIMA;2140;
84177003;Глазурованный керамогранит Ceramente Stellare Cement Pro 60x60x0.95 см 1.44 м² матовый цвет темно-серый;CERAMENTE STELLARE;1398;
84922228;Керамогранит LB Ceramics Софт Вуд 30x60x0.85 см 1.44 м² матовый цвет серый;LB CERAMICS;1011;
87795395;Керамогранит Grasaro Softmarble 60x60x0.9 см 1.8 м² лаппатированный цвет серый;GRASARO;1636;
89367345;Глазурованный керамогранит Ceradim Calgary Nero 60x120 см 1.44 м² матовый цвет графит;CERADIM;2063;
89370422;Глазурованный керамогранит Cersanit Misto 29.8x29.8 см 1.154 м² матовый цвет бежевый;CERSANIT;1053;870
88792349;Глазурованный керамогранит Kerama Marazzi Ланди SG414120N 20.1x50.2x0.85 см 1.41 м² матовый цвет серый;KERAMA MARAZZI;1091;
89396422;Глазурованный керамогранит Arcadia Ceramica Torino Black High Gloss 60x120 см 1.44 м² глянцевый цвет черный;ARCADIA CERAMICA;2225;
84279751;Глазурованный керамогранит Progress Ferrum NR0342 60x60x1 см 1.44 м² матовый цвет коричневый;PROGRESS;1658;
89266131;Глазурованный керамогранит LB Ceramics Моррис 30x60.3 см 1.44 м² матовый цвет бетон;LB CERAMICS;978;
89395340;Глазурованный керамогранит Grasaro Woodland G-711/SR 20x60 см 1.2 м² матовый цвет светло-коричневый;GRASARO;1428;
14086183;Керамогранит Piezarosa М-Квадрат Мюнхен 33x33x0.8 см 1.307 м² матовый цвет мультиколор;PIEZAROSA;1002;
89417862;Керамогранит DUNA Cemento Grafito цвет графит 60x60 1.44 м²;;1644;
86354569;Керамогранит Incolor Lazio Matt 60x120x0.5 см 2.88 м² матовый цвет серый;INCOLOR;2578;2027
89384200;Глазурованный керамогранит Arcadia Ceramica Onyx Primo 60x120 см 1.44 м² глянцевый цвет бежевый;ARCADIA CERAMICA;1921;
89401295;Глазурованный керамогранит Ecogres EcoTile ET00 60x60 см 1.44 м² неполированный цвет бежевый;ECOGRES;1174;
85093828;Керамогранит Leopard Onyx blanco 60x120x0.86 см 1.44 м² глянцевый цвет бежевый;LEOPARD;1891;
86354562;Керамогранит Incolor Sicilia 60x120x0.8 см 1.44 м² полированный цвет белый;INCOLOR;1761;1346
84709060;Керамогранит Estima ST011 30x30x0.8 см 1.53 м² неполированный цвет серый;ESTIMA;834;
82662984;Глазурованный керамогранит Estima МО103 60x120x1 см 1.44 м² неполированный цвет серый;ESTIMA;2167;
89337763;Глазурованный керамогранит Grasaro Marble G-2991.MR/S1 60x120 см 1.44 м² матовый цвет серый;GRASARO;1816;
85093829;Керамогранит Leopard Marb silve 60x120 см 1.44 м² глянцевый цвет коричневый;LEOPARD;2260;
88053660;Глазурованный керамогранит Progress Лава 45x45 см 1.215 м² матовый темно-коричневый;PROGRESS;1290;
89266127;Глазурованный керамогранит LB Ceramics Моррис 30x60.3 см 1.44 м² матовый цвет дерево;LB CERAMICS;1008;
85604800;Керамогранит LB Ceramics Сноувинд 60x30x0.85 см 1.44 м² матовый цвет серый;LB CERAMICS;954;
89405719;Керамогранит Arcadia Ceramica Statuario Mires New 60x60 см 1.44 м² полированный цвет белый;ARCADIA CERAMICA;1763;
89408382;Глазурованный керамогранит Cersanit Cascada 42x42 см 1.587 м² матовый цвет серый;CERSANIT;980;
89376177;Глазурованный керамогранит Arcadia Ceramica Onyx Line Grey 60x120 см 1.44 м² глянцевый цвет светло-серый;ARCADIA CERAMICA;1877;
84348735;Глазурованный керамогранит Kerama Marazzi Пескара SG171500N 40.2x40.2 см 1.62 м² матовый цвет серо-бежевый;KERAMA MARAZZI;1115;933
88297615;Керамогранит LB Ceramics Калакатта 30x60.3x0.85 см 1.44 м² матовый цвет белый;LB CERAMICS;996;858
89369387;Глазурованный керамогранит Bronx-08 60x60 см 1.8 м² матовый цвет антрацит;;1457;
89396418;Глазурованный керамогранит Arcadia Ceramica Aurora Beige Glossy 60x120 см 1.44 м² глянцевый цвет бежевый;ARCADIA CERAMICA;1418;1212
81948939;Керамогранит Quadro Decor Соль-Перец 30x30x0.8 см 1.44 м2 неполированный цвет серый;QUADRO DECOR;550;
15058838;Глазурованный керамогранит Kerama Marazzi Сланец 30x30x0.8 см 1.44 м² матовый цвет коричневый;KERAMA MARAZZI;1257;
89420200;Глазурованный керамогранит Gracia Ceramica Flame 60x60 см 1.44 м² гладкий цвет бежевый;GRACIA CERAMICA;1288;
89353841;Глазурованный керамогранит Ceradim Stone Micado Blanco 120x60 см 1.44 м² полированный цвет светло-серый;CERADIM;1946;
89398190;Глазурованный керамогранит Cersanit Fantastic 17683 44.8x89.8 см 1.206 м² матовый цвет светло-бежевый;CERSANIT;1887;1787
89384204;Глазурованный керамогранит Arcadia Ceramica Eragon Light Grey 60x120 см 1.44 м² матовый цвет светло-серый;ARCADIA CERAMICA;2088;
89353838;Глазурованный керамогранит Ceradim Onyx Royal Cloud 120x60 см 1.44 м² полированный цвет светло-серый;CERADIM;1946;
89398191;Глазурованный керамогранит Cersanit Aura 17685 44.8x89.8 см 1.206 м² матовый цвет светло-бежевый;CERSANIT;1887;1787
89384202;Глазурованный керамогранит Arcadia Ceramica Onyx Invisible Grey 60x120 см 1.44 м² глянцевый цвет серый;ARCADIA CERAMICA;1452;
82959450;Керамогранит Шахтинская Плитка Гермес 40x40x0.8 см 1.6 м² матовый цвет белый терраццо;ШАХТИНСКАЯ ПЛИТКА;880;704
85093837;Керамогранит Onyx Havai Blanco Pol 60x60 см 1.44 м² цвет бежевый;;1887;
84614066;Керамогранит Estima Brigantina BG00 14.6x60 см 1.31 м² неполированный цвет бежевый;ESTIMA;1398;
82656317;Керамогранит Progress Магма GSR132 60x60 см 1.44 м² цвет светло-серый;PROGRESS;1657;
84348734;Глазурованный керамогранит Kerama Marazzi Бари SG171400N 40.2x40.2x0.8 см 1.62 м² матовый цвет серый;KERAMA MARAZZI;1115;
89336248;Глазурованный керамогранит LB Ceramics Алесси 30x60.3 см 1.44 м² матовый цвет белый;LB CERAMICS;1017;
89389022;Глазурованный керамогранит Керамин Грес Руст Бастион 40x40 см 2.08 м² матовый цвет коричневый;КЕРАМИН;1128;
89419459;Керамогранит Керамин Грес 0439 40x40 см 2.08 м² матовый цвет коричневый;КЕРАМИН;570;
89265944;Глазурованный керамогранит LB Ceramics Альгарди 45x45x0.8 см 1.62 м² матовый цвет белый;LB CERAMICS;1153;
83715782;Керамогранит Calacatta Oro 60x60 см 1.44 м² матовый цвет жёлто-серый;LAPARET;1883;
89398193;Глазурованный керамогранит Cersanit Soft 17677 44.8x89.8 см 1.206 м² матовый цвет белый;CERSANIT;1887;1787
85604803;Керамогранит LB Ceramics Брэкстон 60x20x0.85 см 0.96 м² матовый цвет темно-серый;LB CERAMICS;1050;997
89360213;Глазурованный керамогранит Cersanit Capri 17249 29.8x29.8 см 1.154 м² матовый цвет серый;CERSANIT;820;
82634471;Глазурованный керамогранит Kerama Marazzi Боско SG410320N 20.1x50.1x0.85 см 1.41 м² матовый цвет светло-серый;KERAMA MARAZZI;1124;
89360215;Глазурованный керамогранит Cersanit Capri 17245 29.8x29.8 см 1.154 м² матовый цвет бежевый;CERSANIT;828;
83869811;Керамогранит LB Ceramics Цементо Декор 45x45 см 1.62 м² матовый цвет серый;LB CERAMICS;1040;
84614068;Керамогранит Estima Brigantina BG05 14.6x60 см 1.31 м² неполированный цвет коричневый;ESTIMA;1398;
89417861;Керамогранит Cemento Perla 60x60 см 1.44 м² матовый цвет серый;;1644;
89356605;Керамогранит Concor Light Grey 120x60 см 1.44 м² полированный цвет серый;CONCOR;2043;
86354571;Керамогранит Incolor Montecarlo Bianco 60x120x0.5 см 2.88 м² матовый цвет серый;INCOLOR;2578;2027
82712475;Керамогранит Estima Sun Deck SU05 19.4x120 см 1.63 м² матовый цвет темно-коричневый;ESTIMA;2408;
89360211;Глазурованный керамогранит Cersanit Berton 17147 42x42 см 1.587 м² матовый цвет серый коричневый;CERSANIT;758;
89354201;Глазурованный керамогранит Estima Jam JA02 40.5x40.5 см 1.804 м² неполированный цвет серый/синий с принтом;ESTIMA;1306;
85942013;Керамогранит LB Ceramics Тенерифе 45x45 см 1.62 м² матовый цвет бежевый;LB CERAMICS;972;898
84241001;Керамогранит Estima MO103 60x60 см 1.44 м² неполированный цвет серый;ESTIMA;1878;
89414201;Глазурованный керамогранит Kreaforta Dina 42x42 см 1.587 м² сатинированный цвет серый;KREAFORTA;988;
89021577;Глазурованный керамогранит Alma Ceramica CityWood GFA2090CTW04R 20x90 см 1.62 м² матовый цвет кремовый;ALMA CERAMICA;1650;
82662932;Керамогранит Axima Bergamo 120x60 см 1.44 м² цвет бело-серый;AXIMA;1504;
82356258;Керамогранит Шахтинская Плитка Гермес 40x40x0.8 см 1.6 м² матовый цвет серый;ШАХТИНСКАЯ ПЛИТКА;986;
87164930;Керамогранит Alma Ceramica Twin 60x60 см 1.8 м² матовый цвет белый;ALMA CERAMICA;1596;
89411861;Глазурованная клинкерная плитка Керамин Касл Рок 5 29.8x29.8 см 1.51 м² матовая цвет графит;КЕРАМИН;1058;
86711033;Керамогранит Alma Ceramica Oxide 60x60 см 1.8 м² матовый цвет бирюзово-коричневый;ALMA CERAMICA;1505;
89383785;Глазурованный керамогранит Arcadia Ceramica Cement Bianco 60x120 см 1.44 м² матовый цвет светлый серо-бежевый;ARCADIA CERAMICA;1844;1654
89367347;Глазурованный керамогранит Ceradim Calgary Silver 60x120 см 1.44 м² матовый цвет светло-серый;CERADIM;2063;
82399976;Керамогранит Шахтинская Плитка Дора 40x40 см 1.6 м² глянцевый цвет серый;ШАХТИНСКАЯ ПЛИТКА;624;
